id,line,block,day,sex,wing,leg,pupa
021-B-1-F-062,21,6,1,F,13.91810956,13.60045528,
021-B-1-F-063,21,6,1,F,13.67354207,13.34865025,14.10232591
021-B-1-F-064,21,6,1,F,14.02878558,13.75563393,14.48097557
021-B-1-F-065,21,6,1,F,13.97081543,13.62888271,14.44271393
021-B-1-F-066,21,6,1,F,14.1104068,13.81739567,14.53395925
021-B-1-F-067,21,6,1,F,13.81765027,13.44415893,14.17294569
021-B-1-F-068,21,6,1,F,14.0105838,13.65872329,14.42022616
021-B-1-F-069,21,6,1,F,13.95366425,13.57709916,14.37026322
021-B-1-F-070,21,6,1,F,14.00180588,13.68982499,14.49460092
021-B-1-F-071,21,6,1,F,13.72953788,13.36146844,
021-B-1-F-072,21,6,1,F,14.07328817,13.84043461,14.54250567
021-B-1-M-073,21,6,1,M,13.73057513,13.48517416,14.25218254
021-B-1-M-074,21,6,1,M,13.78614797,13.57276494,14.33025681
021-B-1-M-075,21,6,1,M,13.77145522,13.5144526,14.27997488
021-B-1-M-076,21,6,1,M,13.74684653,13.48067202,14.24264564
021-B-1-M-077,21,6,1,M,13.6689737,13.44958127,14.28217601
021-B-1-M-078,21,6,1,M,13.73614728,13.5135294,14.21506461
021-B-1-M-079,21,6,1,M,13.77567703,13.58982412,14.35351683
021-B-1-M-080,21,6,1,M,13.85878937,13.63991089,14.36534883
021-B-1-M-081,21,6,1,M,13.90790285,13.7246399,14.44266666
021-B-1-M-082,21,6,1,M,13.80809785,13.50405705,14.34176038
021-B-1-M-083,21,6,1,M,13.79129973,13.5712876,14.31740012
021-B-1-M-084,21,6,1,M,13.74461588,13.4913725,14.20102747
026-A-0-F-1196,26,13,0,F,14.19299449,13.78496833,14.58588633
026-A-0-F-1198,26,13,0,F,,13.86669985,14.7213558
026-A-0-F-1203,26,13,0,F,,13.85446473,14.68781853
026-A-0-F-1205,26,13,0,F,14.21921679,,14.72252132
026-A-0-F-1206,26,13,0,F,14.14816193,13.76499822,14.71164363
026-A-0-F-1207,26,13,0,F,14.1035958,13.75282084,14.64067048
026-A-0-F-1210,26,13,0,F,14.20393327,13.89659831,14.75455621
026-A-0-F-1211,26,13,0,F,14.2285251,13.76772829,14.81795041
026-A-0-F-1212,26,13,0,F,,13.71949128,14.73786226
026-A-0-F-1213,26,13,0,F,14.21132525,13.86871263,14.75737907
026-A-0-F-1216,26,13,0,F,14.16733857,13.71220826,14.48409013
026-A-0-F-1217,26,13,0,F,14.01064221,13.89276317,14.57481997
026-A-0-F-1218,26,13,0,F,14.00899129,13.6447148,14.60191814
026-A-0-F-1219,26,13,0,F,13.96340456,13.63706218,14.53723976
026-A-0-M-1194,26,13,0,M,,13.71649867,14.61280184
026-A-0-M-1195,26,13,0,M,13.75433257,13.7761104,14.48251092
026-A-0-M-1197,26,13,0,M,13.98141136,13.81704997,14.56101585
026-A-0-M-1199,26,13,0,M,13.7612155,13.71063339,14.52680253
026-A-0-M-1202,26,13,0,M,13.93580422,13.75287264,14.59149101
026-A-0-M-1204,26,13,0,M,13.88273079,13.64899972,14.56788179
026-A-0-M-1208,26,13,0,M,13.86849098,13.69295705,14.50343483
026-A-0-M-1209,26,13,0,M,13.89609373,13.58455664,14.60027334
026-A-0-M-1214,26,13,0,M,13.95753082,13.70243123,14.62263101
026-A-0-M-1215,26,13,0,M,13.98644587,13.83296418,14.61452254
026-A-1-M-1584,26,13,1,M,13.62736898,13.48826183,
026-A-1-M-1585,26,13,1,M,13.79088472,13.69871975,14.54864709
026-A-1-M-1586,26,13,1,M,13.95007467,13.62669205,14.67001907
026-A-2-F-1221,26,13,2,F,13.97326958,13.65339628,14.50108305
026-A-2-F-1222,26,13,2,F,13.84579434,13.53019652,14.36455135
026-A-2-F-1223,26,13,2,F,13.94341113,,14.51201428
026-A-2-F-1224,26,13,2,F,14.04117653,13.62286846,14.60271686
026-A-2-F-1226,26,13,2,F,13.93295754,,14.48493365
026-A-2-F-1228,26,13,2,F,,13.16658081,14.185169
026-A-2-F-1229,26,13,2,F,13.9333807,13.6066178,14.45261339
026-A-2-F-1230,26,13,2,F,13.89472646,13.43024089,14.38330971
026-A-2-F-1233,26,13,2,F,13.90971831,,14.46947686
026-A-2-F-1236,26,13,2,F,13.77287431,13.60385042,14.39727645
026-A-2-F-1237,26,13,2,F,13.95068023,13.30796532,14.52597059
026-A-2-F-1238,26,13,2,F,14.16236726,,14.73368561
026-A-2-F-1239,26,13,2,F,13.99142329,13.50356575,14.60123492
026-A-2-F-1240,26,13,2,F,13.85020663,13.69080569,14.45898991
026-A-2-F-1241,26,13,2,F,14.03052838,,14.56723804
026-A-2-F-1245,26,13,2,F,14.00332285,13.60074366,14.57870339
026-A-2-F-1248,26,13,2,F,13.93749719,13.5410875,14.47335397
026-A-2-F-1249,26,13,2,F,,13.36589644,14.58148007
026-A-2-F-1251,26,13,2,F,14.14062352,13.54350659,14.69585863
026-A-2-F-1254,26,13,2,F,13.81368319,13.78051537,14.41779601
026-A-2-F-1256,26,13,2,F,13.93986484,13.57503236,14.45935215
026-A-2-F-1257,26,13,2,F,13.84748973,13.74399214,14.52529598
026-A-2-F-1258,26,13,2,F,14.03689576,13.84318421,14.58414974
026-A-2-M-1220,26,13,2,M,13.83207461,13.5944609,14.40123457
026-A-2-M-1225,26,13,2,M,13.78331417,13.61561639,14.34346216
026-A-2-M-1227,26,13,2,M,13.85610629,13.66385686,14.4513736
026-A-2-M-1231,26,13,2,M,13.81525793,13.62021897,14.42702333
026-A-2-M-1232,26,13,2,M,13.87400586,,14.49004464
026-A-2-M-1234,26,13,2,M,13.91407725,,14.49829342
026-A-2-M-1235,26,13,2,M,13.84574874,13.69006031,14.47111152
026-A-2-M-1242,26,13,2,M,13.73705462,13.50548189,14.50731967
026-A-2-M-1243,26,13,2,M,13.83421945,13.33923703,14.36804393
026-A-2-M-1244,26,13,2,M,13.81264987,13.35349124,14.39279912
026-A-2-M-1246,26,13,2,M,13.82556979,13.36182429,14.45432178
026-A-2-M-1250,26,13,2,M,13.81359933,13.70422402,14.50212126
026-A-2-M-1252,26,13,2,M,13.6767023,13.67842733,14.46433285
026-A-2-M-1253,26,13,2,M,13.79728966,,14.46585368
026-A-2-M-1255,26,13,2,M,13.98141306,,14.61390511
026-B-0-F-1191,26,13,0,F,14.00604744,13.8443102,14.62393828
026-B-0-F-1192,26,13,0,F,14.24193318,13.86502261,14.70712253
026-B-0-F-1193,26,13,0,F,14.21772506,,14.75773397
026-B-0-F-562,26,13,0,F,14.26478073,13.83263504,14.70610377
026-B-0-F-564,26,13,0,F,14.30578545,13.91649751,14.74138786
026-B-0-F-566,26,13,0,F,14.16494767,13.81814282,14.72387714
026-B-0-F-568,26,13,0,F,14.19161208,13.80017431,14.65323324
026-B-0-F-570,26,13,0,F,14.14626002,13.79241532,14.64537886
026-B-0-F-571,26,13,0,F,14.1931597,13.79706637,14.70597738
026-B-0-F-572,26,13,0,F,14.24812899,13.85196431,14.72094443
026-B-0-F-576,26,13,0,F,14.17311017,13.90882539,14.6276894
026-B-0-F-578,26,13,0,F,14.22740164,13.74977294,14.71311521
026-B-0-F-582,26,13,0,F,14.3002353,13.86696691,14.73919213
026-B-0-F-583,26,13,0,F,13.93854556,13.57432535,14.42864543
026-B-0-F-584,26,13,0,F,14.26022651,13.76336873,14.74913914
026-B-0-F-585,26,13,0,F,14.30276823,13.88275532,14.7691643
026-B-0-F-586,26,13,0,F,14.16089652,13.89752955,14.5872889
026-B-0-F-589,26,13,0,F,14.22804661,13.9065717,14.76965944
026-B-0-F-591,26,13,0,F,14.2117896,13.92839031,14.66203757
026-B-0-F-593,26,13,0,F,14.27619528,13.81931693,14.70165409
026-B-0-F-594,26,13,0,F,14.14084312,13.87040623,14.56874264
026-B-0-M-561,26,13,0,M,13.9376335,13.64699723,14.58502771
026-B-0-M-563,26,13,0,M,14.00705941,13.72640329,14.58651819
026-B-0-M-565,26,13,0,M,13.91712808,13.68037378,14.47402642
026-B-0-M-567,26,13,0,M,14.04154433,13.78670105,14.56036766
026-B-0-M-569,26,13,0,M,13.96624254,13.68212702,14.50702133
026-B-0-M-573,26,13,0,M,14.10021871,13.80878546,14.66192846
026-B-0-M-575,26,13,0,M,13.90190383,13.74918463,14.44006692
026-B-0-M-577,26,13,0,M,14.07489423,13.89226858,14.5954638
026-B-0-M-579,26,13,0,M,13.99971451,13.84844588,14.51730435
026-B-0-M-580,26,13,0,M,14.0440722,13.76616827,14.58040896
026-B-0-M-581,26,13,0,M,14.04722289,13.80440357,14.59684382
026-B-0-M-587,26,13,0,M,13.99661387,13.65583173,14.52287351
026-B-0-M-588,26,13,0,M,13.93634316,13.67422459,14.5306998
026-B-0-M-590,26,13,0,M,14.06860817,13.77247423,14.61651076
026-B-0-M-592,26,13,0,M,13.87966307,13.67014916,14.41893899
026-B-0-M-595,26,13,0,M,13.99466878,13.73781995,14.67478721
026-B-1-F-1278,26,13,1,F,13.93615882,13.40641304,14.48314634
026-B-1-F-1279,26,13,1,F,13.79446505,13.45495255,
026-B-1-F-1280,26,13,1,F,14.09257092,13.37695923,
026-B-1-F-1282,26,13,1,F,13.92043078,13.22080439,14.44870817
026-B-1-F-1284,26,13,1,F,13.74281954,13.41912325,14.23145561
026-B-1-F-1287,26,13,1,F,13.83488859,13.40132101,
026-B-1-F-1288,26,13,1,F,13.83701566,13.29176857,14.25031097
026-B-1-F-1289,26,13,1,F,13.87823932,13.48515552,14.30399994
026-B-1-F-1290,26,13,1,F,13.8958483,13.21798839,14.42720853
026-B-1-F-1291,26,13,1,F,13.82809504,,14.04811602
026-B-1-F-1292,26,13,1,F,13.99289997,13.27789826,14.43476898
026-B-1-F-1295,26,13,1,F,14.08461742,13.5678634,14.4854031
026-B-1-F-1296,26,13,1,F,13.66637392,13.27311951,14.17297611
026-B-1-F-1297,26,13,1,F,13.89046681,13.43930223,14.33733138
026-B-1-F-1299,26,13,1,F,13.99323155,13.6735941,14.46083844
026-B-1-F-1301,26,13,1,F,,13.44788578,14.26896627
026-B-1-F-1303,26,13,1,F,13.7928931,13.47292298,14.25232849
026-B-1-F-1305,26,13,1,F,14.1550075,13.660126,14.60360286
026-B-1-F-1307,26,13,1,F,13.92583653,13.54706124,14.30101361
026-B-1-F-1309,26,13,1,F,13.98786006,,
026-B-1-F-1549,26,13,1,F,13.90478529,13.37126841,14.29650078
026-B-1-F-1551,26,13,1,F,14.04615471,13.54142425,14.56294206
026-B-1-F-1555,26,13,1,F,,13.63978315,14.48220509
026-B-1-F-1557,26,13,1,F,13.77995561,13.37177458,14.2708319
026-B-1-F-1561,26,13,1,F,14.02399194,13.64305163,14.55812754
026-B-1-F-1562,26,13,1,F,13.87968745,13.47187331,14.39600728
026-B-1-F-1564,26,13,1,F,13.91430829,13.42929569,14.43480141
026-B-1-F-1565,26,13,1,F,13.85727994,13.39047712,14.38638578
026-B-1-F-1566,26,13,1,F,13.85316081,13.3424731,14.24563689
026-B-1-F-1567,26,13,1,F,13.75805293,13.39407245,14.33238517
026-B-1-F-1568,26,13,1,F,13.81455961,13.48720273,14.33317933
026-B-1-F-1569,26,13,1,F,13.79268421,13.54839566,14.34616312
026-B-1-F-1570,26,13,1,F,13.8442224,13.25806933,14.330259
026-B-1-F-1572,26,13,1,F,13.85701808,13.48200208,14.39764305
026-B-1-F-1573,26,13,1,F,13.63538052,13.30944595,
026-B-1-F-1576,26,13,1,F,13.73389999,13.39086371,14.27443432
026-B-1-F-1577,26,13,1,F,13.98910414,13.53370327,14.45306996
026-B-1-F-1583,26,13,1,F,14.00369655,13.51747152,14.48967629
026-B-1-M-1276,26,13,1,M,13.68111685,13.36796956,
026-B-1-M-1277,26,13,1,M,13.76740523,13.50170978,14.32735018
026-B-1-M-1281,26,13,1,M,13.64627406,13.56620482,14.21325932
026-B-1-M-1283,26,13,1,M,13.61469634,13.5443959,13.89039404
026-B-1-M-1285,26,13,1,M,13.77913491,13.36572064,14.28690813
026-B-1-M-1286,26,13,1,M,13.83125791,13.19905108,
026-B-1-M-1293,26,13,1,M,13.65347492,13.30011976,
026-B-1-M-1294,26,13,1,M,13.67599834,13.4747883,
026-B-1-M-1298,26,13,1,M,13.89576155,13.67562098,14.43817597
026-B-1-M-1300,26,13,1,M,13.64334204,13.38340208,
026-B-1-M-1302,26,13,1,M,13.7399016,13.48108364,14.28181044
026-B-1-M-1304,26,13,1,M,13.75072155,13.44493513,14.26716533
026-B-1-M-1306,26,13,1,M,13.76965571,13.39711605,14.11802199
026-B-1-M-1308,26,13,1,M,13.70696531,13.44319764,14.23018291
026-B-1-M-1548,26,13,1,M,13.70409966,13.41554976,14.06856824
026-B-1-M-1550,26,13,1,M,13.843471,13.49551317,14.1177004
026-B-1-M-1552,26,13,1,M,13.65776176,13.35828786,14.17815065
026-B-1-M-1553,26,13,1,M,13.78669762,,14.39371571
026-B-1-M-1554,26,13,1,M,13.78882946,13.43691513,14.39907075
026-B-1-M-1556,26,13,1,M,13.64502041,13.45419867,14.18029108
026-B-1-M-1558,26,13,1,M,13.75228456,13.43914122,14.33838754
026-B-1-M-1559,26,13,1,M,13.72009542,13.38950131,14.30148725
026-B-1-M-1560,26,13,1,M,13.791874,13.43554071,14.33789136
026-B-1-M-1563,26,13,1,M,13.69259756,,14.2415706
026-B-1-M-1571,26,13,1,M,13.7099698,13.31823499,14.12514465
026-B-1-M-1578,26,13,1,M,13.73410699,13.3315957,14.23135403
026-B-1-M-1579,26,13,1,M,13.64089595,13.26835849,14.19674418
026-B-1-M-1580,26,13,1,M,13.70186907,13.39734236,14.25299001
026-B-1-M-1581,26,13,1,M,13.72565664,13.39447043,14.30382331
026-B-1-M-1582,26,13,1,M,13.73126162,13.44494476,13.99835246
026-B-1-M-1587,26,13,1,M,13.87845531,13.54135154,14.40272042
026-B-1-M-1588,26,13,1,M,13.94330993,13.53616028,14.31979431
026-B-1-M-1589,26,13,1,M,13.99715522,13.68363647,14.56445946
026-B-1-M-1590,26,13,1,M,13.66293124,13.4017665,14.21564907
026-B-1-M-1591,26,13,1,M,13.8870188,13.53062159,14.39788239
026-B-1-M-1592,26,13,1,M,14.0215991,13.83881822,14.58987215
026-B-1-M-1593,26,13,1,M,13.98542041,13.64123652,14.50478937
026-B-1-M-1594,26,13,1,M,14.02886717,13.63542634,14.5862147
026-B-1-M-1595,26,13,1,M,13.70993446,13.36421594,14.22467575
026-B-1-M-1596,26,13,1,M,13.99085701,13.67353999,14.50900411
026-B-1-M-1597,26,13,1,M,14.04698491,13.72405881,14.33876843
026-B-1-M-1598,26,13,1,M,14.03535347,13.715099,14.37119029
026-B-1-M-1599,26,13,1,M,13.91697991,13.69873672,14.51874345
026-B-1-M-1600,26,13,1,M,13.65985625,13.36620067,14.2073684
026-B-1-M-1601,26,13,1,M,13.93872946,13.66710027,14.52903187
026-B-1-M-1602,26,13,1,M,14.0131607,13.34190092,14.4343833
026-B-1-M-1603,26,13,1,M,13.80471843,,14.37601366
026-B-2-F-1259,26,13,2,F,13.99520116,,14.46305147
026-B-2-F-1260,26,13,2,F,13.90204507,13.42887448,14.34514668
026-B-2-F-1262,26,13,2,F,13.87393794,13.50797052,14.28463686
026-B-2-F-1266,26,13,2,F,13.8024626,13.20064637,14.32473062
026-B-2-F-1268,26,13,2,F,13.86207539,13.35108445,14.34286184
026-B-2-F-1273,26,13,2,F,13.95635713,13.45903395,14.23766767
026-B-2-F-1275,26,13,2,F,13.93078556,13.43469116,14.37937508
026-B-2-M-1261,26,13,2,M,13.75996888,13.53650338,14.31358132
026-B-2-M-1263,26,13,2,M,13.48705163,13.31681783,14.15192948
026-B-2-M-1264,26,13,2,M,13.5935317,13.43794829,14.23185742
026-B-2-M-1265,26,13,2,M,13.70119944,13.45069552,14.23255026
