,line,lnpupa
0,21,14.454189080017464
1,26,14.506855973193607
2,28,14.616967525484272
3,31,14.487272648682655
4,32,14.407978790504941
5,38,14.434742392207076
6,41,14.404523217976077
7,42,14.604414124068223
8,45,14.282602328863867
9,48,14.563198544158192
10,57,14.30041191957733
11,59,14.486109913666239
12,69,14.519527813871896
13,73,14.470959427475034
14,75,14.451382952461163
15,83,14.485295606768181
16,85,14.44918651329827
17,88,14.342162278398899
18,91,14.413766930857882
19,93,14.523902332241194
20,100,14.504604646258253
21,101,14.355777726842994
22,105,14.342507558331597
23,109,14.410814232174063
24,129,14.518857871672303
25,136,14.466959932432669
26,138,14.400068545178302
27,142,14.642715552191511
28,149,14.592151897763046
29,153,14.673311701559086
30,158,14.592737689646702
31,161,14.461645877358604
32,176,14.29595991694254
33,177,14.308260610661765
34,181,14.528994572606576
35,189,14.39304642526687
36,195,14.470707165935556
37,217,14.455802716575738
38,227,14.579896696404852
39,228,14.300915254619701
40,229,14.538691164252906
41,235,14.217521620082833
42,237,14.452485997565862
43,239,14.374344550244862
44,256,14.419602383087721
45,280,14.464205117065397
46,287,14.546171095369122
47,301,14.388864408114339
48,303,14.408730597020272
49,304,
50,306,14.65880125399636
51,307,14.565543452202286
52,309,14.631122245664692
53,310,14.32010630875918
54,313,14.408752715101755
55,315,14.510275713433941
56,317,14.3090490864442
57,318,14.426202674465697
58,319,14.432099756311757
59,320,14.514824087505222
60,321,14.426232945664651
61,324,14.38430928293275
62,332,14.424268087465945
63,335,14.34655324419169
64,336,14.463843852814755
65,338,14.40966536592585
66,340,14.495685347779526
67,348,14.46313121774668
68,350,14.450597697659582
69,352,14.442244417362396
70,354,14.493989669198283
71,356,14.52944859382861
72,357,14.439137796034448
73,358,14.372592513335372
74,359,14.423607759032944
75,360,14.473892174070848
76,361,14.43297940707951
77,362,14.545674338449064
78,365,14.44134632819233
79,367,14.484821703147366
80,370,14.332217843080986
81,371,14.37602478177026
82,373,14.450173782558679
83,374,14.461227707756468
84,377,14.37839555544833
85,379,14.373482143411712
86,381,14.424545450600885
87,383,14.477608020062142
88,385,14.59997874054705
89,386,14.490717900347725
90,390,14.482562024073005
91,391,14.411632450129407
92,392,14.46590586418325
93,395,14.456561879113364
94,397,14.52029962801824
95,399,14.475960375179021
96,405,14.370025572701664
97,406,14.516399273794773
98,409,14.57033256226994
99,426,14.43762401133459
100,427,14.500821581558249
101,437,14.482670077117664
102,439,14.32533633428098
103,440,14.36593720680874
104,441,14.523342346146652
105,443,14.622012685694655
106,461,14.359215480916145
107,486,14.447628061907212
108,491,14.377788264519145
109,492,14.337959799895502
110,502,14.385424375201028
111,505,14.477490745316704
112,508,14.487615764520969
113,509,14.721584038710049
114,513,14.245067928369423
115,517,14.450654111224242
116,528,14.524086847155017
117,530,14.449256203265843
118,531,14.637617319760414
119,535,14.510272685707484
120,551,14.499053847293771
121,555,14.503405192928303
122,559,14.291299197024262
123,563,14.390148265341947
124,566,14.470294651929938
125,584,14.410738018524773
126,589,14.57781665166855
127,595,14.20644799789455
128,596,14.433651966709917
129,627,14.436659618107273
130,630,14.528385484848146
131,634,14.525725514221326
132,639,14.509691814781297
133,646,14.476450949403114
134,703,14.33050817792866
135,705,14.55757170459225
136,707,14.540766527112703
137,712,14.411916688083673
138,714,14.49686676443904
139,716,14.512062590433402
140,721,14.440665995682856
141,727,14.548887110033073
142,730,14.615867775640547
143,732,14.498112239859793
144,737,14.600978812940282
145,738,14.577048495205624
146,748,14.41112396704088
147,757,14.485245240488599
148,761,14.387110351127475
149,765,14.35187970865655
150,774,14.410590731663934
151,776,14.38771431825478
152,783,14.41490191861416
153,786,14.335462046869832
154,787,14.356983678189232
155,790,14.360195494587591
156,796,14.239852606420271
157,799,14.542405205738334
158,801,14.391778842176256
159,802,14.54276443727585
160,804,14.358948390568822
161,805,14.40221164828583
162,808,14.49405066066787
163,810,14.552585179495154
164,812,14.840576616979186
165,818,14.397320484717719
166,819,14.269252232554194
167,821,14.357337181740427
168,822,14.434395599213696
169,832,14.552755988049995
170,837,14.487947152899022
171,843,14.317721198687403
172,849,14.322963762720436
173,850,14.396884170637714
174,852,14.46922681261701
175,853,14.42852266957301
176,855,14.261607683570924
177,857,14.346553189833893
178,859,14.480954111826682
179,861,14.30529003867588
180,879,14.311320380609637
181,882,14.446891299992263
182,884,14.326603916228319
183,887,14.350450557348575
184,890,14.517785987037218
185,892,14.384255539235697
186,894,14.630703640436982
187,897,14.295708773373276
188,900,14.488039173079043
189,907,14.550460750082525
190,908,14.34678713332186
191,911,14.15550495045214
192,913,14.29590624388451
